"name";"email";"website";"address";"reachable";"uses_https";"has_viewport";"doctype_html4";"veraltet_score";"uses_bootstrap_css";"uses_jquery";"uses_deprecated_tags";"missing_semantic_html5";"uses_table_layout";"large_page_size";"missing_meta_charset"
"Pieper Malermeister";"info@pieper-gmbh.de";"http://www.pieper-gmbh.de";"49082 Osnabrück";"True";"False";"True";"False";"45";"False";"True";"False";"True";"False";"False";"False"
"Raumausstatter Hüttemeyer";"maler-wehuett@web.de";"WEB_NULL";"Richardstr. 6 49074 Osnabrück (Gartlage)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Stefan Klein Malerbetrieb";"stefan.klein@gmx.de";"WEB_NULL";"Heinrichstr. 50 49080 Osnabrück (Wüste)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Stefan Kopmann Malerfachbetrieb";"info@maler-kopmann.de";"http://www.maler-kopmann.de";"Bremer Str. 31 49084 Osnabrück (Schinkel)";"True";"False";"False";"False";"75";"False";"True";"False";"True";"False";"False";"False"
"Uwe Mehring Malerfachbetrieb";"vennemann.mehring@osnanet.de";"WEB_NULL";"Eikesberg 41 49076 Osnabrück (Atter)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"AD | Design Malermeister Dapkus";"MAIL_NULL";"WEB_NULL";"Dielingerstr. 8 49074 Osnabrück (Innenstadt)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Birkemeyer Malermeister GmbH & Co. KG";"MAIL_NULL";"http://birkemeyer.de/";"Hannoversche Str. 95 a 49084 Osnabrück (Fledder)";"True";"False";"True";"False";"40";"True";"True";"False";"False";"False";"False";"False"
"R&B Dienstleistungen";"info.rundb@yahoo.com";"http://www.ruether-umzuege.de";"Lerchenstr. 89 49088 Osnabrück (Sonnenhügel)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Andreas Pollag Malermeister";"MAIL_NULL";"WEB_NULL";"An der Landwehr 4 49076 Osnabrück (Atter)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Andreas Stoll Dienstleistungen";"MAIL_NULL";"https://andreasstolldienstleistungen.nicepage.io/Startseite.html";"Grünberger Str. 24 49086 Osnabrück (Voxtrup)";"True";"True";"False";"False";"45";"False";"False";"False";"True";"False";"False";"False"
"Bottermann";"MAIL_NULL";"WEB_NULL";"Meller Str. 34 49082 Osnabrück (Schölerberg)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Florysiak Consulting GmbH";"MAIL_NULL";"WEB_NULL";"Adolfstr. 38 49078 Osnabrück (Weststadt)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Friedrich Bormann Malerbetriebe";"MAIL_NULL";"http://farbeundmehr.de";"Bramstr. 18 49090 Osnabrück (Haste)";"True";"False";"False";"False";"70";"False";"False";"False";"True";"False";"False";"True"
"Hakan Koc";"MAIL_NULL";"WEB_NULL";"Osningstr. 1 49082 Osnabrück (Schölerberg)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Hammer Dienstleistung";"MAIL_NULL";"WEB_NULL";"Wellmannsweg 56 49086 Osnabrück (Voxtrup)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Klaus Michel Malermeister";"MAIL_NULL";"WEB_NULL";"Sophie-Immeyer-Str. 56 B 49080 Osnabrück (Kalkhügel)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Olaf Heilek Malermeister";"MAIL_NULL";"WEB_NULL";"Düstruper Str. 14 49086 Osnabrück (Voxtrup)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Peter Giesecke Malermeister";"MAIL_NULL";"WEB_NULL";"Wüstenstr. 17 49080 Osnabrück (Wüste)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Ralf Deppen Maler- und Lackierer";"MAIL_NULL";"WEB_NULL";"An der Katharinenkirche 10 49074 Osnabrück (Innenstadt)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Schliehe u. Wortmann Malerbetrieb";"MAIL_NULL";"WEB_NULL";"Rothertstr. 3 49086 Osnabrück (Widukindland)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
"Serviceteam - Laudan";"MAIL_NULL";"WEB_NULL";"Hasestr. 36 49074 Osnabrück (Innenstadt)";"False";"False";"False";"False";"100";"False";"False";"False";"True";"False";"True";"True"
